Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
W,165.88,Put,150.00,05/08/20,3,1.95,2.33,2.70,2.45,6681,102,65.5,140.47%,05/05/20
FB,207.07,Call,230.00,05/22/20,17,0.40,0.47,0.53,0.51,9310,177,52.6,33.28%,05/05/20
PTON,36.22,Call,39.00,05/08/20,3,1.64,1.67,1.69,1.68,12940,246,52.6,210.37%,05/05/20
EBAY,40.32,Call,41.00,05/15/20,10,0.62,0.63,0.64,0.64,27748,567,48.94,34.84%,05/05/20
MA,273.98,Call,290.00,05/08/20,3,0.62,0.63,0.63,0.62,20274,524,38.69,49.47%,05/05/20
BMY,61.36,Call,65.00,05/29/20,24,0.66,0.71,0.75,0.68,19168,531,36.1,30.60%,05/05/20
EPD,17.15,Put,16.50,05/15/20,10,0.25,0.38,0.50,0.25,3439,105,32.75,46.16%,05/05/20
X,8.06,Put,9.00,06/19/20,45,1.37,1.44,1.50,1.37,8163,268,30.46,69.44%,05/05/20
PLUG,4.17,Call,5.00,05/29/20,24,0.14,0.16,0.17,0.15,6284,218,28.83,95.75%,05/05/20
WELL,48.2,Call,55.00,09/18/20,136,3.20,3.35,3.50,3.80,5014,176,28.49,52.59%,05/05/20
TCOM,24.24,Put,25.00,05/15/20,10,1.20,1.28,1.35,1.25,4546,163,27.89,50.49%,05/05/20
GNW,3.35,Put,3.00,05/08/20,3,0.20,0.87,1.54,0.20,9095,327,27.81,303.83%,05/05/20
IFF,128.9,Call,145.00,05/15/20,10,0.50,0.65,0.80,0.86,4031,151,26.7,61.53%,05/05/20
ENDP,4.16,Put,4.00,07/17/20,73,0.55,0.73,0.90,0.75,15058,585,25.74,115.81%,05/05/20
FB,207.07,Put,207.50,05/08/20,3,3.00,3.05,3.10,3.11,8207,323,25.41,38.71%,05/05/20
GM,21.26,Call,30.00,12/18/20,227,0.92,0.95,0.98,0.97,5030,222,22.66,48.06%,05/05/20
W,165.88,Put,140.00,05/08/20,3,1.20,1.3,1.40,1.29,2079,103,20.18,159.07%,05/05/20
ATVI,68.53,Put,65.00,05/08/20,3,0.84,0.86,0.88,0.86,7320,368,19.89,90.69%,05/05/20
SQ,66.69,Put,64.00,05/15/20,10,1.89,2.07,2.24,2.20,3896,198,19.68,78.53%,05/05/20
GOOS,22.8,Call,25.00,06/19/20,45,1.60,1.68,1.75,1.70,2141,109,19.64,79.24%,05/05/20
FEYE,10.8,Call,10.50,05/15/20,10,0.63,0.66,0.69,0.68,10051,513,19.59,73.13%,05/05/20
TSLA,768.21,Put,770.00,05/08/20,3,20.75,21.63,22.50,21.82,7342,384,19.12,75.35%,05/05/20
TSLA,768.21,Put,775.00,05/08/20,3,22.50,24.68,26.85,24.57,6386,337,18.95,75.44%,05/05/20
PTON,36.22,Put,33.50,05/08/20,3,1.64,1.69,1.73,1.90,3843,203,18.93,244.26%,05/05/20
LUV,26.42,Call,28.50,05/08/20,3,0.10,0.13,0.15,0.15,11962,653,18.32,79.57%,05/05/20
ATVI,68.53,Call,73.00,05/08/20,3,0.88,0.94,0.99,0.95,7540,427,17.66,101.38%,05/05/20
BYND,100.16,Call,103.00,05/08/20,3,5.55,5.68,5.80,5.65,1981,115,17.23,190.06%,05/05/20
NCLH,11.18,Put,8.00,05/15/20,10,0.35,0.38,0.40,0.38,5408,323,16.74,232.20%,05/05/20
REGN,574.37,Call,600.00,05/08/20,3,1.70,1.9,2.10,1.85,4928,295,16.71,45.81%,05/05/20
TSLA,768.21,Put,765.00,05/08/20,3,18.75,19.33,19.90,19.35,3781,230,16.44,75.60%,05/05/20
PINS,20.81,Call,23.00,06/19/20,45,1.15,1.3,1.45,1.40,9779,638,15.33,75.93%,05/05/20
PYPL,125.43,Put,119.00,05/08/20,3,0.95,1.02,1.09,1.00,2862,188,15.22,73.71%,05/05/20
AAL,9.51,Put,14.00,11/20/20,199,6.45,6.6,6.75,6.75,2417,162,14.92,127.69%,05/05/20
TCOM,24.24,Put,22.00,05/15/20,10,0.20,0.25,0.30,0.25,4390,297,14.78,65.28%,05/05/20
UBER,28.07,Put,25.50,05/08/20,3,0.60,0.63,0.65,0.62,3206,219,14.64,163.92%,05/05/20
GNPX,3.5,Call,5.00,05/15/20,10,0.20,0.23,0.25,0.20,4127,284,14.53,258.38%,05/05/20
PAA,8.24,Put,7.50,05/15/20,10,0.15,0.2,0.25,0.25,2030,140,14.5,104.59%,05/05/20
TSLA,768.21,Put,780.00,05/08/20,3,24.60,26.7,28.80,27.55,5379,378,14.23,75.69%,05/05/20
BYND,100.16,Call,165.00,05/15/20,10,0.37,0.43,0.48,0.40,6852,485,14.13,160.69%,05/05/20
LUV,26.42,Call,28.50,05/15/20,10,0.40,0.45,0.50,0.48,3086,219,14.09,69.13%,05/05/20
CGC,15.76,Put,15.50,05/08/20,3,0.40,0.42,0.44,0.41,7934,567,13.99,93.90%,05/05/20
MSFT,180.76,Put,182.50,05/08/20,3,2.99,3.12,3.25,3.05,9199,660,13.94,31.63%,05/05/20
AXP,86.74,Put,87.00,05/08/20,3,1.67,1.8,1.92,1.74,1910,140,13.64,51.30%,05/05/20
CAT,108.91,Call,115.00,05/08/20,3,0.19,0.23,0.26,0.22,2405,188,12.79,46.49%,05/05/20
ENDP,4.16,Call,5.00,07/17/20,73,0.50,0.7,0.90,0.70,15060,1191,12.64,132.50%,05/05/20
CRWD,71.59,Put,45.00,10/16/20,164,1.60,1.73,1.85,1.60,2502,200,12.51,63.33%,05/05/20
UPS,92.71,Call,98.00,05/08/20,3,0.09,0.11,0.12,0.11,1924,154,12.49,41.33%,05/05/20
TSLA,768.21,Put,750.00,05/08/20,3,12.90,13.1,13.30,13.05,19917,1597,12.47,76.28%,05/05/20
FB,207.07,Call,222.50,06/12/20,38,2.56,2.71,2.85,2.64,1553,127,12.23,29.12%,05/05/20
DDD,8.33,Put,7.50,05/15/20,10,0.23,0.38,0.52,0.26,5125,434,11.81,112.10%,05/05/20
ATVI,68.53,Put,68.00,05/08/20,3,2.00,2.11,2.21,2.05,3969,340,11.67,93.54%,05/05/20
CSCO,41.46,Put,41.50,05/08/20,3,0.53,0.63,0.73,0.62,2033,177,11.49,40.14%,05/05/20
AMRN,7.72,Put,8.00,06/19/20,45,1.20,1.27,1.34,1.23,10031,884,11.35,99.72%,05/05/20
TSLA,768.21,Put,785.00,05/08/20,3,29.20,31.1,33.00,30.35,2593,232,11.18,74.59%,05/05/20
