Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SPY,282.4,Call,288.00,11/20/20,203,21.96,22.18,22.39,21.94,6006,153,39.25,28.02%,"15:10 ET"
XLP,57.69,Put,57.00,05/08/20,7,0.45,0.46,0.48,0.47,11504,334,34.44,23.64%,"15:10 ET"
XME,18.74,Call,20.00,06/19/20,49,0.71,0.74,0.77,0.75,6206,197,31.5,44.66%,"15:06 ET"
SPY,282.4,Call,283.00,05/04/20,3,2.58,2.59,2.59,2.78,18199,584,31.16,29.66%,"15:27 ET"
SPXU,16.65,Call,19.00,05/08/20,7,0.35,0.38,0.40,0.35,6098,203,30.04,118.75%,"15:27 ET"
SPY,282.4,Call,295.00,05/11/20,10,0.86,0.88,0.89,0.90,28848,1281,22.52,24.84%,"15:27 ET"
SPY,282.4,Call,282.00,05/04/20,3,3.06,3.08,3.10,3.33,11105,504,22.03,30.22%,"15:27 ET"
EEM,35.29,Call,40.00,07/17/20,77,0.37,0.39,0.41,0.39,3548,176,20.16,26.90%,"15:14 ET"
KRE,35.97,Put,31.00,05/15/20,14,0.34,0.36,0.37,0.34,5042,265,19.03,71.48%,"15:01 ET"
IWM,124.47,Put,122.00,06/19/20,49,6.91,6.94,6.96,6.88,31274,1696,18.44,45.22%,"15:27 ET"
QQQ,212.72,Put,220.00,05/29/20,28,11.12,11.18,11.25,11.35,5916,326,18.15,31.41%,"15:13 ET"
SPY,282.4,Call,282.50,05/01/20,0,0.83,0.85,0.86,1.05,29211,1612,18.12,0.00%,"15:27 ET"
EMB,99.77,Put,90.00,06/19/20,49,1.30,1.4,1.50,1.45,5013,314,15.96,35.24%,"13:37 ET"
SPY,282.4,Call,285.00,05/04/20,3,1.65,1.67,1.68,1.78,65824,4148,15.87,27.93%,"15:27 ET"
SPY,282.4,Put,225.00,05/27/20,26,0.77,0.79,0.80,0.77,3130,209,14.98,52.58%,"15:27 ET"
USO,18.77,Put,10.00,06/19/20,49,0.42,0.43,0.43,0.43,16162,1093,14.79,147.36%,"14:56 ET"
XLF,22,Put,21.50,05/08/20,7,0.39,0.4,0.41,0.40,4593,326,14.09,51.63%,"15:07 ET"
GDX,33.06,Put,31.00,05/08/20,7,0.31,0.32,0.32,0.32,7625,552,13.81,61.21%,"15:20 ET"
SPY,282.4,Call,282.00,05/01/20,0,1.15,1.16,1.17,1.42,52182,4042,12.91,0.00%,"15:27 ET"
EWJ,50.81,Call,52.50,05/08/20,7,0.14,0.15,0.16,0.14,2562,201,12.75,23.56%,"13:13 ET"
USO,18.77,Call,25.00,06/19/20,49,0.63,0.64,0.65,0.64,5586,449,12.44,84.21%,"14:56 ET"
USO,18.77,Put,15.00,06/19/20,49,1.23,1.25,1.26,1.23,5482,470,11.66,111.49%,"15:02 ET"
EFA,55.24,Put,53.50,05/08/20,7,0.41,0.43,0.44,0.45,1887,163,11.58,36.89%,"13:39 ET"
SPY,282.4,Call,284.00,05/04/20,3,2.22,2.24,2.25,2.25,15982,1391,11.49,28.78%,"15:27 ET"
XLP,57.69,Put,55.50,05/08/20,7,0.18,0.2,0.22,0.17,1329,116,11.46,26.92%,"12:25 ET"
SPY,282.4,Call,284.00,05/01/20,0,0.24,0.25,0.25,0.34,66645,5899,11.3,0.00%,"15:27 ET"
SPY,282.4,Call,283.00,05/01/20,0,0.58,0.59,0.60,0.75,59569,5285,11.27,0.00%,"15:27 ET"
XOP,50.31,Put,47.00,06/19/20,49,3.60,3.68,3.75,3.75,2064,191,10.81,74.61%,"14:19 ET"
EEM,35.29,Put,32.00,05/29/20,28,0.49,0.52,0.54,0.53,6044,574,10.53,45.71%,"12:47 ET"
SPY,282.4,Call,289.00,05/04/20,3,0.51,0.52,0.52,0.55,13889,1359,10.22,25.28%,"15:27 ET"
EFA,55.24,Call,55.50,05/08/20,7,0.83,0.85,0.86,0.81,5016,495,10.13,30.65%,"15:02 ET"
