Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PLAY,12,Call,12.00,05/01/20,7,0.95,1,1.05,0.95,6559,137,47.88,143.34%,04/24/20
VALE,7.67,Put,6.50,05/15/20,21,0.10,0.12,0.14,0.13,16854,384,43.89,76.86%,04/24/20
FCEL,2.09,Call,1.50,06/19/20,56,0.70,0.73,0.75,0.77,10292,243,42.35,148.55%,04/24/20
RIOT,1.25,Call,1.00,05/01/20,7,0.29,0.3,0.31,0.30,13127,359,36.57,228.68%,04/24/20
PFE,37.38,Call,39.00,05/08/20,14,0.31,0.38,0.45,0.38,3704,102,36.31,32.85%,04/24/20
HMY,3.77,Put,4.00,08/21/20,119,0.85,0.93,1.00,0.95,3021,100,30.21,96.12%,04/24/20
ENDP,4.12,Call,4.50,05/15/20,21,0.45,0.48,0.50,0.48,5513,183,30.13,159.01%,04/24/20
W,122.41,Put,100.00,05/01/20,7,1.70,1.75,1.80,1.76,3607,129,27.96,143.45%,04/24/20
WLL,1.12,Call,1.50,06/05/20,42,0.22,0.28,0.34,0.25,3393,126,26.93,240.54%,04/24/20
THC,19.33,Put,10.00,01/21/22,637,1.55,2.08,2.60,2.35,3000,126,23.81,84.50%,04/24/20
OXY,13.81,Put,14.50,05/01/20,7,1.13,1.17,1.21,1.16,2512,106,23.7,98.35%,04/24/20
PBR,5.66,Call,6.00,05/01/20,7,0.13,0.15,0.16,0.15,3387,143,23.69,89.58%,04/24/20
BYND,108.78,Put,105.00,05/01/20,7,4.80,5.25,5.70,4.98,2566,111,23.12,113.78%,04/24/20
WYNN,76.61,Call,75.00,01/15/21,266,19.50,19.78,20.05,19.77,5037,242,20.81,73.65%,04/24/20
BILL,48.74,Put,30.00,05/15/20,21,0.70,0.92,1.15,0.90,3878,189,20.52,171.30%,04/24/20
CLR,12.59,Put,2.50,09/18/20,147,0.05,0.13,0.20,0.15,2107,104,20.26,167.87%,04/24/20
SCHW,35.4,Put,36.00,05/15/20,21,2.05,2.15,2.25,2.25,2907,168,17.3,57.11%,04/24/20
ZM,158.8,Put,170.00,05/01/20,7,15.50,15.85,16.20,15.30,2955,172,17.18,94.69%,04/24/20
WYNN,76.61,Call,105.00,01/15/21,266,8.00,8.3,8.60,8.22,5028,303,16.59,62.52%,04/24/20
BYND,108.78,Put,100.00,05/01/20,7,2.80,2.9,3.00,2.85,3337,213,15.67,109.36%,04/24/20
LVS,43.78,Call,50.00,06/19/20,56,2.27,2.27,2.27,2.27,32543,2092,15.56,64.67%,04/24/20
OXY,13.81,Put,11.50,05/15/20,21,0.62,0.64,0.66,0.63,5059,330,15.33,125.99%,04/24/20
TSLA,725.15,Call,1200.00,05/22/20,28,6.00,6.3,6.60,6.30,2460,161,15.28,111.85%,04/24/20
SLB,16.11,Put,13.00,05/15/20,21,0.21,0.24,0.26,0.23,1627,107,15.21,86.23%,04/24/20
AAL,10.31,Put,5.00,11/20/20,210,0.99,1.05,1.10,1.03,2952,206,14.33,140.37%,04/24/20
SHOP,643.19,Call,700.00,05/01/20,7,9.50,10.3,11.10,9.70,3716,260,14.29,80.57%,04/24/20
ZM,158.8,Call,195.00,05/01/20,7,1.10,1.73,2.35,1.30,2923,205,14.26,114.86%,04/24/20
NRZ,5.22,Put,5.00,06/19/20,56,0.80,0.85,0.90,0.85,1608,114,14.11,121.51%,04/24/20
PZZA,72,Call,85.00,05/15/20,21,1.00,1.1,1.20,1.05,1874,134,13.99,68.37%,04/24/20
GIS,60.48,Put,57.50,06/19/20,56,1.60,1.67,1.74,1.73,1590,115,13.83,32.87%,04/24/20
WPM,39.62,Call,42.00,01/15/21,266,4.80,5.1,5.40,5.00,2704,205,13.19,43.30%,04/24/20
